# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 222         Hoorn Nh    
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  222,19000827,  231,     
  222,19000828,    0,     
  222,19000829,   12,     
  222,19000830,    0,     
  222,19000831,    0,     
  222,19000901,    0,     
  222,19000902,    0,     
  222,19000903,   16,     
  222,19000904,   23,     
  222,19000905,    0,     
  222,19000906,    0,     
  222,19000907,    0,     
  222,19000908,    0,     
  222,19000909,    8,     
  222,19000910,    0,     
  222,19000911,    0,     
  222,19000912,    2,     
  222,19000913,    4,     
  222,19000914,    0,     
  222,19000915,    0,     
  222,19000916,    0,     
  222,19000917,    0,     
  222,19000918,    0,     
  222,19000919,    0,     
  222,19000920,   35,     
  222,19000921,    0,     
  222,19000922,    0,     
  222,19000923,    0,     
  222,19000924,    0,     
  222,19000925,    0,     
  222,19000926,    0,     
  222,19000927,    0,     
  222,19000928,   26,     
  222,19000929,  105,     
  222,19000930,  104,     
  222,19001001,    0,     
  222,19001002,    0,     
  222,19001003,   14,     
  222,19001004,   52,     
  222,19001005,   21,     
  222,19001006,    6,     
  222,19001007,   12,     
  222,19001008,    0,     
  222,19001009,    0,     
  222,19001010,    0,     
  222,19001011,    0,     
  222,19001012,    0,     
  222,19001013,    2,     
  222,19001014,   26,     
  222,19001015,   27,     
  222,19001016,   56,     
  222,19001017,   84,     
  222,19001018,   52,     
  222,19001019,   48,     
  222,19001020,    0,     
  222,19001021,   15,     
  222,19001022,   33,     
  222,19001023,   26,     
  222,19001024,    0,     
  222,19001025,    0,     
  222,19001026,   21,     
  222,19001027,  132,     
  222,19001028,  141,     
  222,19001029,  155,     
  222,19001030,   20,     
  222,19001031,    0,     
  222,19001101,    0,     
  222,19001102,    0,     
  222,19001103,    0,     
  222,19001104,    0,     
  222,19001105,    0,     
  222,19001106,    0,     
  222,19001107,    0,     
  222,19001108,    0,     
  222,19001109,    0,     
  222,19001110,   21,     
  222,19001111,   43,     
  222,19001112,   35,     
  222,19001113,   39,     
  222,19001114,    0,     
  222,19001115,   23,     
  222,19001116,   18,     
  222,19001117,    0,     
  222,19001118,    0,     
  222,19001119,    0,     
  222,19001120,    0,     
  222,19001121,    0,     
  222,19001122,    0,     
  222,19001123,    0,     
  222,19001124,   25,     
  222,19001125,   47,     
  222,19001126,   31,     
  222,19001127,   36,     
  222,19001128,   21,     
  222,19001129,    0,     
  222,19001130,    0,     
  222,19001201,    0,     
  222,19001202,    0,     
  222,19001203,    0,     
  222,19001204,    0,     
  222,19001205,   15,     
  222,19001206,   32,     
  222,19001207,    0,     
  222,19001208,    0,     
  222,19001209,    0,     
  222,19001210,    3,     
  222,19001211,   51,     
  222,19001212,    0,     
  222,19001213,   37,     
  222,19001214,   26,     
  222,19001215,   31,     
  222,19001216,   10,     
  222,19001217,   50,     
  222,19001218,    0,     
  222,19001219,    0,     
  222,19001220,   21,     
  222,19001221,   57,     
  222,19001222,    0,     
  222,19001223,    0,     
  222,19001224,   14,     
  222,19001225,    0,     
  222,19001226,    0,     
  222,19001227,    0,     
  222,19001228,    0,     
  222,19001229,   27,     
  222,19001230,   85,     
  222,19001231,   76,     
  222,19010101,   42,     
  222,19010102,  141,     
  222,19010103,    0,     
  222,19010104,   11,     
  222,19010105,    0,     
  222,19010106,    0,     
  222,19010107,    0,     
  222,19010108,    0,     
  222,19010109,    0,     
  222,19010110,    0,     
  222,19010111,    0,     
  222,19010112,    0,     
  222,19010113,    0,     
  222,19010114,    0,     
  222,19010115,    0,     
  222,19010116,    0,     
  222,19010117,    0,     
  222,19010118,    0,     
  222,19010119,    0,     
  222,19010120,   12,     
  222,19010121,   45,     
  222,19010122,   21,     
  222,19010123,   22,     
  222,19010124,    0,     
  222,19010125,    0,     
  222,19010126,    0,     
  222,19010127,   15,     
  222,19010128,   21,     
  222,19010129,   11,     
  222,19010130,   36,     
  222,19010131,   41,     
  222,19010201,   22,     
  222,19010202,   29,     
  222,19010203,   12,     
  222,19010204,    0,     
  222,19010205,    0,     
  222,19010206,    0,     
  222,19010207,    0,     
  222,19010208,    0,     
  222,19010209,    0,     
  222,19010210,    0,     
  222,19010211,    0,     
  222,19010212,   35,     
  222,19010213,   53,     
  222,19010214,   36,     
  222,19010215,    0,     
  222,19010216,   21,     
  222,19010217,   31,     
  222,19010218,   13,     
  222,19010219,    0,     
  222,19010220,   20,     
  222,19010221,   51,     
  222,19010222,    0,     
  222,19010223,   21,     
  222,19010224,   12,     
  222,19010225,   22,     
  222,19010226,   31,     
  222,19010227,    0,     
  222,19010228,    0,     
  222,19010301,   42,     
  222,19010302,   17,     
  222,19010303,   53,     
  222,19010304,    0,     
  222,19010305,    0,     
  222,19010306,   11,     
  222,19010307,  215,     
  222,19010308,  101,     
  222,19010309,   32,     
  222,19010310,    0,     
  222,19010311,   11,     
  222,19010312,    0,     
  222,19010313,    0,     
  222,19010314,    0,     
  222,19010315,    0,     
  222,19010316,    0,     
  222,19010317,    0,     
  222,19010318,   20,     
  222,19010319,    0,     
  222,19010320,    0,     
  222,19010321,    0,     
  222,19010322,    0,     
  222,19010323,    0,     
  222,19010324,    0,     
  222,19010325,    0,     
  222,19010326,   14,     
  222,19010327,   26,     
  222,19010328,   21,     
  222,19010329,   25,     
  222,19010330,   12,     
  222,19010331,   22,     
  222,19010401,   11,     
  222,19010402,   13,     
  222,19010403,    0,     
  222,19010404,   21,     
  222,19010405,  196,     
  222,19010406,    0,     
  222,19010407,    0,     
  222,19010408,   21,     
  222,19010409,   65,     
  222,19010410,    0,     
  222,19010411,   12,     
  222,19010412,   58,     
  222,19010413,  162,     
  222,19010414,    0,     
  222,19010415,   10,     
  222,19010416,   35,     
  222,19010417,   47,     
  222,19010418,   42,     
  222,19010419,    6,     
  222,19010420,    0,     
  222,19010421,    0,     
  222,19010422,    0,     
  222,19010423,    0,     
  222,19010424,    0,     
  222,19010425,    0,     
  222,19010426,    0,     
  222,19010427,    0,     
  222,19010428,    0,     
  222,19010429,  161,     
  222,19010430,    0,     
  222,19010501,    0,     
  222,19010502,   21,     
  222,19010503,   30,     
  222,19010504,   18,     
  222,19010505,    0,     
  222,19010506,    0,     
  222,19010507,    0,     
  222,19010508,    6,     
  222,19010509,    0,     
  222,19010510,    0,     
  222,19010511,    0,     
  222,19010512,   25,     
  222,19010513,    0,     
  222,19010514,    0,     
  222,19010515,    0,     
  222,19010516,    0,     
  222,19010517,    0,     
  222,19010518,    0,     
  222,19010519,    0,     
  222,19010520,    0,     
  222,19010521,    0,     
  222,19010522,    0,     
  222,19010523,    0,     
  222,19010524,    0,     
  222,19010525,    0,     
  222,19010526,    0,     
  222,19010527,   82,     
  222,19010528,    0,     
