# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# 
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# STN         NAME
# 828         Oudenbosch  
# RD        : 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag
# SX        : codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC
# STN,YYYYMMDD,   RD,   SX
  828,19000827,    1,     
  828,19000828,    0,     
  828,19000829,   54,     
  828,19000830,    0,     
  828,19000831,    0,     
  828,19000901,    0,     
  828,19000902,    1,     
  828,19000903,   63,     
  828,19000904,    5,     
  828,19000905,    1,     
  828,19000906,    0,     
  828,19000907,    0,     
  828,19000908,    0,     
  828,19000909,    2,     
  828,19000910,    1,     
  828,19000911,    1,     
  828,19000912,    0,     
  828,19000913,    2,     
  828,19000914,    0,     
  828,19000915,    0,     
  828,19000916,    1,     
  828,19000917,    0,     
  828,19000918,    0,     
  828,19000919,   22,     
  828,19000920,    8,     
  828,19000921,    6,     
  828,19000922,    1,     
  828,19000923,    0,     
  828,19000924,    0,     
  828,19000925,    0,     
  828,19000926,   11,     
  828,19000927,    0,     
  828,19000928,    0,     
  828,19000929,    9,     
  828,19000930,   34,     
  828,19001001,    0,     
  828,19001002,    3,     
  828,19001003,    0,     
  828,19001004,    0,     
  828,19001005,   66,     
  828,19001006,   11,     
  828,19001007,   23,     
  828,19001008,    0,     
  828,19001009,    0,     
  828,19001010,    0,     
  828,19001011,    0,     
  828,19001012,   42,     
  828,19001013,    0,     
  828,19001014,    0,     
  828,19001015,   14,     
  828,19001016,   52,     
  828,19001017,   10,     
  828,19001018,   27,     
  828,19001019,   28,     
  828,19001020,   25,     
  828,19001021,    0,     
  828,19001022,    1,     
  828,19001023,    0,     
  828,19001024,    0,     
  828,19001025,   16,     
  828,19001026,   21,     
  828,19001027,   53,     
  828,19001028,   76,     
  828,19001029,   39,     
  828,19001030,   38,     
  828,19001031,   63,     
  828,19001101,    9,     
  828,19001102,    0,     
  828,19001103,   16,     
  828,19001104,    0,     
  828,19001105,    0,     
  828,19001106,    5,     
  828,19001107,   11,     
  828,19001108,    0,     
  828,19001109,    0,     
  828,19001110,    1,     
  828,19001111,   22,     
  828,19001112,    0,     
  828,19001113,    1,     
  828,19001114,    5,     
  828,19001115,   57,     
  828,19001116,    2,     
  828,19001117,   35,     
  828,19001118,    2,     
  828,19001119,    0,     
  828,19001120,    0,     
  828,19001121,    0,     
  828,19001122,    5,     
  828,19001123,   20,     
  828,19001124,    0,     
  828,19001125,    1,     
  828,19001126,    0,     
  828,19001127,   18,     
  828,19001128,    2,     
  828,19001129,    2,     
  828,19001130,    5,     
  828,19001201,    0,     
  828,19001202,    0,     
  828,19001203,    2,     
  828,19001204,    0,     
  828,19001205,   20,     
  828,19001206,   36,     
  828,19001207,  104,     
  828,19001208,   90,     
  828,19001209,    1,     
  828,19001210,    0,     
  828,19001211,    2,     
  828,19001212,    0,     
  828,19001213,    0,     
  828,19001214,    8,     
  828,19001215,   33,     
  828,19001216,    0,     
  828,19001217,    0,     
  828,19001218,    0,     
  828,19001219,    1,     
  828,19001220,   15,     
  828,19001221,    4,     
  828,19001222,   44,     
  828,19001223,   25,     
  828,19001224,    0,     
  828,19001225,    0,     
  828,19001226,    4,     
  828,19001227,    1,     
  828,19001228,    0,     
  828,19001229,   20,     
  828,19001230,   84,     
  828,19001231,    0,     
  828,19010101,  133,     
  828,19010102,    0,     
  828,19010103,    0,     
  828,19010104,    0,     
  828,19010105,    0,     
  828,19010106,    0,     
  828,19010107,    0,     
  828,19010108,    0,     
  828,19010109,    0,     
  828,19010110,   17,     
  828,19010111,    0,     
  828,19010112,    0,     
  828,19010113,    0,     
  828,19010114,    0,     
  828,19010115,    0,     
  828,19010116,    1,     
  828,19010117,    0,     
  828,19010118,    0,     
  828,19010119,    0,     
  828,19010120,    0,     
  828,19010121,   24,     
  828,19010122,    1,     
  828,19010123,    1,     
  828,19010124,    0,     
  828,19010125,    0,     
  828,19010126,    2,     
  828,19010127,   70,     
  828,19010128,   25,     
  828,19010129,   42,     
  828,19010130,    2,     
  828,19010131,   61,     
  828,19010201,    9,     
  828,19010202,    2,     
  828,19010203,    0,     
  828,19010204,    0,     
  828,19010205,    0,     
  828,19010206,   12,     
  828,19010207,    0,     
  828,19010208,    0,     
  828,19010209,    0,     
  828,19010210,    0,     
  828,19010211,    0,     
  828,19010212,   12,     
  828,19010213,   12,     
  828,19010214,    2,     
  828,19010215,    0,     
  828,19010216,   42,     
  828,19010217,    2,     
  828,19010218,   14,     
  828,19010219,    6,     
  828,19010220,    2,     
  828,19010221,    2,     
  828,19010222,    0,     
  828,19010223,    0,     
  828,19010224,    0,     
  828,19010225,   12,     
  828,19010226,   23,     
  828,19010227,    0,     
  828,19010228,   18,     
  828,19010301,   25,     
  828,19010302,   13,     
  828,19010303,   84,     
  828,19010304,  118,     
  828,19010305,   25,     
  828,19010306,   10,     
  828,19010307,   41,     
  828,19010308,   59,     
  828,19010309,  124,     
  828,19010310,    1,     
  828,19010311,    1,     
  828,19010312,    0,     
  828,19010313,    0,     
  828,19010314,    0,     
  828,19010315,    0,     
  828,19010316,    0,     
  828,19010317,    7,     
  828,19010318,    0,     
  828,19010319,    0,     
  828,19010320,   60,     
  828,19010321,    0,     
  828,19010322,    1,     
  828,19010323,    0,     
  828,19010324,    0,     
  828,19010325,    0,     
  828,19010326,    0,     
  828,19010327,   15,     
  828,19010328,   21,     
  828,19010329,   62,     
  828,19010330,   30,     
  828,19010331,   21,     
  828,19010401,    0,     
  828,19010402,   90,     
  828,19010403,    6,     
  828,19010404,    0,     
  828,19010405,  145,     
  828,19010406,   12,     
  828,19010407,    0,     
  828,19010408,   23,     
  828,19010409,    0,     
  828,19010410,    0,     
  828,19010411,   40,     
  828,19010412,   52,     
  828,19010413,   86,     
  828,19010414,    3,     
  828,19010415,   35,     
  828,19010416,   31,     
  828,19010417,   11,     
  828,19010418,  157,     
  828,19010419,    0,     
  828,19010420,    0,     
  828,19010421,    0,     
  828,19010422,    0,     
  828,19010423,    0,     
  828,19010424,    0,     
  828,19010425,    0,     
  828,19010426,    0,     
  828,19010427,    0,     
  828,19010428,    0,     
  828,19010429,   13,     
  828,19010430,   11,     
  828,19010501,    0,     
  828,19010502,    0,     
  828,19010503,    0,     
  828,19010504,    0,     
  828,19010505,    0,     
  828,19010506,    0,     
  828,19010507,    0,     
  828,19010508,   51,     
  828,19010509,    2,     
  828,19010510,    3,     
  828,19010511,   16,     
  828,19010512,   22,     
  828,19010513,    0,     
  828,19010514,    0,     
  828,19010515,    0,     
  828,19010516,    0,     
  828,19010517,    0,     
  828,19010518,    0,     
  828,19010519,    0,     
  828,19010520,    0,     
  828,19010521,    0,     
  828,19010522,    0,     
  828,19010523,    0,     
  828,19010524,    0,     
  828,19010525,    0,     
  828,19010526,    0,     
  828,19010527,    0,     
  828,19010528,    0,     
