"IT_DATETIME","DS_CODE","DS_NAME","DS_DESC","DS_LAT","DS_LON","DS_ALT","REN1.RD","REN1.Q_RD","REH1.Q24","REH1.Q_Q24","REH1.PG","REH1.Q_PG","REH1.TX","REH1.Q_TX","REH1.UG","REH1.Q_UG","REH1.TG","REH1.Q_TG","REH1.TN","REH1.Q_TN"
"19900218_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"12.5",,"76",,"10.2",,"7.9",
"19900218_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"12.8",,"78",,"10.3",,"7.2",
"19900219_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"14.0",,"73",,"11.5",,"6.0",
"19900219_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"14.3",,"74",,"11.6",,"6.0",
"19900220_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"18.5",,"67",,"13.6",,"10.3",
"19900220_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"18.6",,"66",,"14.0",,"7.4",
"19900221_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"15.1",,"72",,"9.8",,"3.3",
"19900221_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"15.3",,"73",,"10.1",,"3.3",
"19900222_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"16.0",,"67",,"5.7",,"-0.3",
"19900222_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"15.9",,"70",,"7.1",,"1.0",
"19900223_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"16.0",,"77",,"8.9",,"-0.3",
"19900223_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"16.6",,"82",,"7.6",,"-0.1",
"19900224_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"20.0",,,,,,"5.0",
"19900224_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"20.4",,,,,,"3.2",
"19900225_240000_000000","168_H","","","","","","","","","","","","","","","","","","",""
"19900225_240000_000000","170_H","","","","","","","","","","","","","","","","","","",""
"19900226_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"12.7",,"73",,"8.2",,"0.9",
"19900226_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"12.9",,"71",,"9.0",,"2.2",
"19900227_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"6.9",,"67",,"5.1",,"1.3",
"19900227_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"8.1",,"68",,"5.8",,"2.5",
"19900228_240000_000000","168_H","Epen","Termijnstation","50.763889","5.906111","155",,,,,,,"11.6",,"75",,"6.7",,"3.9",
"19900228_240000_000000","170_H","Oost-Maarland","Termijnstation","50.793889","5.715278","500",,,,,,,"12.4",,"76",,"7.1",,"4.3",
