"IT_DATETIME,""DS_CODE"",""DS_NAME"",""DS_DESC"",""DS_LAT"",""DS_LON"",""DS_ALT"",""REN1.RD"",""REN1.Q_RD"",""REH1.PG"",""REH1.Q_PG"",""REH1.TX"",""REH1.Q_TX"",""REH1.DDVEC"",""REH1.Q_DDVEC"",""REH1.DDFHX"",""REH1.Q_DDFHX"",""REH1.TXG"",""REH1.Q_TXG"",""REH1.UG"",""REH1.Q_UG"",""REH1.TG"",""REH1.Q_TG"",""REH1.FHX"",""REH1.Q_FHX"",""REH1.TN"",""REH1.Q_TN"",""REH1.FG"",""REH1.Q_FG"""
"19710117_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""7.7"",,,,,,,,""89"",,""3.5"",,,,""-0.6"",,,"
"19710117_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710118_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""6.8"",,,,,,,,""79"",,""3.0"",,,,""-2.6"",,,"
"19710118_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710119_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""7.6"",,,,,,,,""84"",,""6.6"",,,,""5.8"",,,"
"19710119_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710120_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""6.8"",,,,,,,,""81"",,""5.2"",,,,""3.2"",,,"
"19710120_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710121_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""6.0"",,,,,,,,""75"",,""4.6"",,,,""2.9"",,,"
"19710121_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710122_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""6.9"",,,,,,,,""80"",,""6.1"",,,,""4.4"",,,"
"19710122_240000_000000,""170_H"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19710123_240000_000000,""130_H"",""Epen"",""Termijnstation"",""50.776862"",""5.912249"",""143.1"",,,,,""12.5"",,,,,,,,""81"",,""7.5"",,,,""3.6"",,,"
